"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"pekashi";"pekashi";"na k";0,96;138,8;0,68;84;93,5;2
"raizen";"raizen";"PAM";0,96;229,8;0,98;62;146,2;3
"Anaks";"Anaks";"DRX.P";0,96;212,4;1,06;69;132,8;3
"Surpr1seeeeeeeee";"Surpr1seeeeeeeee";"Mede";0,96;202,6;0,87;72;122,7;2
"teach";"teach";"Aspi";0,96;213;0,99;68;135,9;3
"Masked";"Masked";"TCE";0,96;189,5;0,9;69;125,2;2
"iyen";"iyen";"Team";0,96;189,6;0,96;69;121,1;2
"truo";"truo";"Mapl";0,96;187;0,94;71;122,8;2
"nataNk";"nataNk";"VIT";0,96;189;0,88;71;125;2
"mxm";"mxm";"Meme";0,96;199,2;0,99;65;129,3;3
"alkyia";"alkyia";"BBL.Q";0,96;223,1;0,97;70;144,1;3
"jduh";"jduh";"FF";0,96;196,1;0,96;68;130,7;3
"h6Tsu";"h6Tsu";"FCG";0,96;166,4;0,7;67;101,5;2
"leaf.1";"leaf";"2G4L";0,96;176,5;0,81;66;114;2
"Fejkix";"Fejkix";"LPH";0,96;180,8;0,85;61;126,4;2
"Ravanue";"Ravanue";"GGO";0,96;176,4;0,88;72;117,2;2
"Okeanos";"Okeanos";"CB";0,96;222,9;1,01;64;141,6;3
"TheAuri";"TheAuri";"CWE";0,96;187,2;0,85;69;123;2
"Wasp";"Wasp";"TOA";0,96;183;0,91;67;120,8;2
"Subroza";"Subroza";"TSM";0,96;208,2;0,98;71;133,3;3
"skylen";"skylen";"SMB";0,96;187,9;0,95;71;124,3;2
"Dinxx";"Dinxx";"Insi";0,96;197,5;0,97;67;125,5;2
"SkaNoodles";"SkaNoodles";"EGYPT";0,96;167,1;0,88;73;113,1;2
"HellrangeR";"HellrangeR";"GES";0,96;174;0,96;70;113;2
"wackie";"wackie";"DSY";0,96;212,9;1;67;134,5;3
"TheCady";"TheCady";"Team";0,96;238,2;1,01;67;151,4;3
"Art1st";"Art1st";"EZ K";0,96;190,2;0,94;70;123,6;2
"Shawn";"Shawn";"Valk";0,96;216,6;1,03;71;138,4;3
"Askia";"Askia";"TBS";0,96;224,5;0,98;68;148,3;3
"bubu";"bubu";"maze";0,96;236,6;1;66;149,1;3
"Lorri";"Lorri";"SR.GC";0,96;210,5;0,96;69;135,6;3
"Wake";"Wake";"AF";0,96;201;1,01;72;128,6;3
"hazed";"hazed";"NRG";0,96;182,5;0,98;71;120,2;2
"mattye";"mattye";"GORG";0,96;212,4;0,92;66;141,3;3
"Tkaz";"Tkaz";"CD";0,96;207,1;0,96;70;135,9;3
"bucher1";"bucher1";"BAHRAIN";0,96;191,9;0,94;69;125,4;2
"xeboda";"xeboda";"RESO";0,96;208,6;0,95;68;134,2;3
"DBK";"DBK";"Brim";0,96;217,9;0,97;65;136,9;3
"NOKOCU";"NOKOCU";"AM";0,96;211,1;0,96;68;136,2;3
"shawn";"shawn";"AI";0,96;183,2;0,91;71;123,7;2
"misfoRtune";"misfoRtune";"KPC";0,96;212,2;0,95;68;140,9;3
"sian";"sian";"FB";0,96;179,8;0,9;71;121,3;2
"W1nner";"W1nner";"GFN";0,96;200,2;1;69;128,5;3
"fROKIZ";"fROKIZ";"YZ";0,96;224,5;0,97;66;148,9;3
"Meliodas";"Meliodas";"Dont";0,96;183,1;0,92;67;113,8;2
"Bgg";"Bgg";"WAVE";0,96;195,9;0,96;70;125,8;3
"Greyy";"Greyy";"Team";0,96;190;0,92;67;119,3;2
"Bobovo";"Bobovo";"Ambi";0,96;218,5;0,98;68;140,8;3
"glym";"glym";"SH";0,96;198,2;0,96;71;130,2;3
"neptuNo";"neptuNo";"KOI";0,96;182,6;0,94;71;121,3;2
"Shabi";"Shabi";"ARF.S";0,96;222,9;0,95;64;143,8;3
"Lok1";"Lok1";"CES";0,96;187,8;0,94;70;121;2
"Salvestro";"Salvestro";"FAT";0,96;221,5;1,09;67;135,3;3
"jkR";"jkR";"WAVE.A";0,96;204,1;0,92;71;135,9;3
"ShawateRR";"ShawateRR";"YLA";0,96;197,6;0,92;69;131,3;3
"Bromas";"Bromas";"GG";0,96;199;0,96;71;130;3
"L0sttt";"L0sttt";"AA";0,96;205,9;0,97;71;133,8;3
"Busterrr";"Busterrr";"WS";0,96;209,8;0,96;68;142,4;3
"stk";"stk";"RTS";0,96;199;1,01;72;127,9;3
"jurca";"jurca";"ITB";0,96;212,4;0,93;71;141,7;3
"Virtyy";"Virtyy";"OXGA";0,96;204,4;0,93;70;131,7;3
"Dualing";"Dualing";"NVG";0,96;217,8;0,98;66;141,3;3
"Abo";"Abo";"EDG";0,96;193,4;0,92;68;125;2
"Rias";"Rias";"GG";0,96;177,5;0,89;70;121,1;2
"Esiax";"Esiax";"Gazi";0,96;245,8;0,99;68;168,7;3
"andy";"andy";"MEOW";0,96;222,4;1,02;68;139,6;3
"NakJi";"NakJi";"MARU";0,96;204,7;0,98;69;132,8;3
"GugeDD";"GugeDD";"Toe";0,96;204,7;0,99;71;130,9;3
"Rarga";"Rarga";"NSR";0,96;228,3;1,04;65;150,8;3
"Tristiieee";"Tristiieee";"AI";0,96;198,2;0,92;68;133;3
"Clarenz";"Clarenz";"6K";0,96;186,2;0,95;73;117,1;2
"Tura";"Tura";"SKC";0,96;186,1;0,85;70;118,9;2
"Ssun";"Ssun";"SPG";0,96;234,8;0,98;65;154,8;3
"K1te";"K1te";"Toe";0,96;182,3;0,93;70;121;2
"Krysme";"Krysme";"B4A";0,96;191,3;0,97;68;126,5;2
"bes";"bes";"ZOL.M";0,96;205;0,96;66;135,3;3
"pycr";"pycr";"PSIS";0,96;189,6;0,94;70;126,5;2
"LockM";"LockM";"GFN";0,96;190,9;0,96;71;128,8;3
"BENECIA";"BENECIA";"CNJ";0,96;174;0,87;70;113,9;2
"Paradox.1";"Paradox";"RNT";0,96;230,3;1,01;65;150,3;3
"smiley";"smiley";"Mapl";0,96;166,8;0,88;73;110,4;2
"FireZs";"FireZs";"DEWA";0,96;204,8;0,95;65;133,7;3
"vhz";"vhz";"TRY";0,96;205;0,99;67;131;3
"WANHEDA";"WANHEDA";"CWE";0,96;200,3;0,97;71;134,4;3
"Kiles";"Kiles";"GIA";0,96;185,7;0,95;70;119;2
"lyNxi";"lyNxi";"RBLS";0,96;168,6;0,91;73;112,2;2
"Anreit";"Anreit";"VCTRY";0,96;192,8;0,98;70;127;3
"ozzy";"ozzy";"WAVE";0,96;182;0,92;73;119,7;2
"CallMeMar";"CallMeMar";"MCT";0,96;194,5;0,94;68;128,9;2
"Fweshest";"Fweshest";"BLISS";0,96;190;0,97;69;122,8;2
"Link";"Link";"Elys";0,96;190,4;0,96;69;129,5;3
"OLIZERA";"OLIZERA";"DSY";0,96;210,5;0,91;67;136;3
"sturNN";"sturNN";"GAL";0,96;204,5;0,99;68;134,5;3
"ohai";"ohai";"AI";0,96;189;0,91;70;123,3;2
"Docent";"Docent";"KAST";0,96;196,4;0,94;68;127,6;2
"dazzLe";"dazzLe";"SR";0,96;192,6;0,88;72;127,6;2
"stallion";"stallion";"AME";0,96;213,2;0,96;69;140,7;3
"Padisah";"Padisah";"S2G";0,96;198,3;0,99;68;135;3
"Vetreon";"Vetreon";"Elys";0,96;205;0,96;65;138,8;3
"gabersenn";"gabersenn";"New";0,96;219,9;0,94;65;144;3
"RieNs";"RieNs";"HEET";0,96;190,3;0,93;70;126,1;2
"Killua";"Killua";"FWE";0,96;217,4;1,01;68;138,7;3
"dip";"dip";"Nort";0,96;199,3;0,94;70;130,7;3
"xfaded";"xfaded";"SS";0,96;195,1;0,98;76;130,3;3
"pancc";"pancc";"UNION";0,96;199,3;0,98;68;130,9;3
"Lessa";"Lessa";"FSN.X";0,96;197,2;1,02;66;136,6;3
"snikk";"snikk";"TH";0,96;212,7;0,97;68;140,8;3
"RaM";"RaM";"PK.A";0,96;213,5;0,97;70;139,5;3
"Dutchie";"Dutchie";"Ever";0,96;208,1;0,93;66;134,2;3
"fxy0";"fxy0";"OG";0,96;209;1,06;70;130,9;3
"Berrie";"Berrie";"PING";0,96;232,2;1;65;148,6;3
"tankzor";"tankzor";"B8";0,96;201,1;0,99;66;131,4;3
"Draxii";"Draxii";"RRQ";0,95;175,4;0,88;72;112;2
"capriciouS";"capriciouS";"ZOL.M";0,95;212,4;0,99;67;142,3;3
"Treelover";"Treelover";"UOL";0,95;189,8;0,95;74;127,1;3
"WAT";"WAT";"BONK";0,95;192,2;0,97;70;124,5;2
"Ducko";"Ducko";"KUM";0,95;141,3;0,82;68;103,8;2
"ooyubun";"ooyubun";"KJC";0,95;166;0,85;63;113,1;2
"Delend";"Delend";"47";0,95;180,1;0,89;71;120,1;2
"refinnej";"refinnej";"GX3";0,95;201,1;0,95;68;132,1;3
"FFs";"FFs";"O2";0,95;200;0,89;70;132,2;3
"swag";"swag";"FIAP";0,95;200,3;0,94;67;134,9;3
"emluo";"emluo";"VX";0,95;215,1;1,01;66;142,2;3
"Nyang";"Nyang";"GLB";0,95;164,3;0,92;72;108,2;2
"Sylvette";"Sylvette";"DEWA";0,95;192;0,98;69;125,2;2
"Ivory";"Ivory";"RH";0,95;196,7;0,94;71;128,9;3
"artn";"artn";"LZ";0,95;164,7;0,87;73;101,7;2
"zeeq";"zeeq";"RGE";0,95;187,8;0,94;69;125,6;2
"v1xen";"v1xen";"NIP";0,95;180;0,97;73;117,1;2
"Apoclypz";"Apoclypz";"KVM";0,95;164,7;0,76;68;111,9;2
"kyo";"kyo";"ITB.P";0,95;195,9;0,92;70;129;3
"BearZ";"BearZ";"Team";0,95;197,5;0,88;70;134,2;3
"Asteriskk";"Asteriskk";"PSJ";0,95;176,8;0,94;71;109,2;2
"nekoJ";"nekoJ";"YTR";0,95;177,8;0,92;68;117,4;2
"jarpiX";"jarpiX";"FAT";0,95;196,4;0,93;69;129,5;3
"VYX";"VYX";"Egir";0,95;193,3;0,94;70;128,2;3
"Fearay";"Fearay";"6K";0,95;195,4;0,94;70;124,3;2
"traekS";"traekS";"KGG";0,95;169,1;0,79;72;113,5;2
"Z";"Z";"NS";0,95;205,3;0,99;64;135,4;3
"Yuna";"Yuna";"本桜
																			NEXU";0,95;201,8;0,91;68;127,5;2
"KlausC";"KlausC";"WeSp";0,95;218,5;0,94;68;141;3
"roca";"roca";"AI";0,95;223,3;1;67;144,2;3
"Blas";"Blas";"NS";0,95;183,2;0,9;68;121,8;2
"babysoap";"babysoap";"TMV";0,95;201,5;0,9;70;129,9;3
"howellsey";"howellsey";"Bang";0,95;193,7;0,91;67;129,4;2
"koldamenta";"koldamenta";"GLD";0,95;178,1;0,88;73;116,1;2
"daki";"daki";"ITB";0,95;188,1;0,94;68;123,2;2
"senyorcarL";"senyorcarL";"NCG";0,95;216,2;1;68;138,5;3
"jEEE";"jEEE";"NS";0,95;191;0,91;71;126,7;2
"Nartzie";"Nartzie";"TUNISIA";0,95;204,2;0,94;71;131;3
"Junior";"Junior";"NEB";0,95;183,3;0,8;68;122,8;2
"Marw0ll";"Marw0ll";"GAL";0,95;185,7;0,89;69;126,2;2
"KARIM";"KARIM";"SEMO";0,95;201,4;1,05;65;130,7;3
"Eren";"Eren";"NTER";0,95;232,9;1,04;68;143,1;3
"silenttt";"silenttt";"GTZ";0,95;188,8;0,93;68;126,8;2
"macRue";"macRue";"FF.Y";0,95;168,6;0,76;72;114;2
"theory";"theory";"INF";0,95;194,5;0,91;68;129,2;2
"WAKUZ";"WAKUZ";"iPon";0,95;199,7;0,97;70;131,8;3
"Nation";"Nation";"PRDX";0,95;179,7;0,94;69;117;2
"Danielesflo";"Danielesflo";"TC";0,95;203,9;0,97;70;133,1;3
"mTz1";"mTz1";"NSR";0,95;216,2;1,01;67;140;3
"JustnatioNN";"JustnatioNN";"ANKAA";0,95;183,5;0,86;69;117,4;2
"Vince";"Vince";"CGN";0,95;185,8;0,87;67;118,2;2
"slaze";"slaze";"VX";0,95;195;0,95;70;128,3;3
"qxv";"qxv";"Z10";0,95;198,9;0,94;66;129,1;2
"Derialy";"Derialy";"NTH";0,95;183,2;0,93;69;123,2;2
"Akleous";"Akleous";"HBOX";0,95;198;1,01;63;124,5;2
"Darrick";"Darrick";"EF";0,95;176,8;0,82;72;121,7;2
"bungee";"bungee";"TSM.X";0,95;211,3;1;68;137,9;3
"cavern";"cavern";"zL";0,95;202,5;0,89;70;137,4;3
"severiNe";"severiNe";"BME";0,95;185,6;0,91;71;119,2;2
"ducKw0w";"ducKw0w";"Kika";0,95;191,4;0,97;72;116,8;2
"light";"light";"UNP";0,95;176,2;0,92;71;113,3;2
"RIZKYMD";"RIZKYMD";"ONIC";0,95;177,1;0,95;75;110,4;2
"tsack";"tsack";"TQ";0,95;178,3;0,95;72;116,7;2
"rara";"rara";"DIG";0,95;230,7;1,01;69;143,3;3
"PanzeR";"PanzeR";"ROG";0,95;213,3;0,96;70;138,5;3
"Risu";"Risu";"ONIC";0,95;199,6;0,89;73;129,9;3
"XaviSimple";"XaviSimple";"OE";0,95;188,2;0,93;71;130,1;2
"Crescent";"Crescent";"Metr";0,95;207,6;0,99;67;134,4;3
"Sephia";"Sephia";"NAVI.C";0,95;202,7;0,97;68;133;3
"steady";"steady";"GK";0,95;187,4;0,9;71;124,5;2
"xikaz";"xikaz";"LF";0,95;177;0,9;71;119,4;2
"cxyy";"cxyy";"WBG";0,95;213,8;0,94;68;145;3
"SHADOWMIGLITO";"SHADOWMIGLITO";"HG";0,95;192,4;0,92;72;123,1;2
"Zap";"Zap";"TUZZY";0,95;195,5;0,94;68;128,1;2
"humliK";"humliK";"EIQ";0,95;178,2;0,8;67;119,4;2
"Harmon";"Harmon";"LT";0,95;180,8;0,88;71;122,1;2
"rodeN";"rodeN";"BDS";0,95;207,3;0,95;71;130,9;3
"Russ";"Russ";"Les";0,95;189,5;0,93;69;120,6;2
"cheatcode";"cheatcode";"YFP";0,95;209,1;0,94;68;137,3;3
"BELKY";"BELKY";"SH";0,95;188,1;0,94;71;122,7;2
"sp5ZZZZZ";"sp5ZZZZZ";"OF";0,95;232,9;0,93;66;148,4;3
"KEREME";"KEREME";"inco";0,95;179,6;0,9;70;118,6;2
"Vibhor";"Vibhor";"GR";0,95;187,2;0,93;70;120,7;2
"KappA";"KappA";"GES";0,95;168,4;0,86;72;114,7;2
"Bia";"Bia";"ORG5";0,95;199,7;0,98;68;128,1;3
"MichelCastr0";"MichelCastr0";"CLIM";0,95;223,3;0,98;70;131,4;3
"Happy";"Happy";"BDS";0,95;219,8;1;67;140,1;3
"Hate";"Hate";"DK";0,95;176,5;0,88;69;114,3;2
"schnellÆ";"schnellÆ";"SMBF";0,95;210,3;0,98;68;136,3;3
"mNdS";"mNdS";"MIBR";0,95;173,1;0,89;73;113,4;2
"hugeon";"hugeon";"IRIS";0,95;179,7;0,99;70;117,1;2
"Kleimon";"Kleimon";"Team";0,95;226,6;0,94;68;148,6;3
"Brofeld";"Brofeld";"JDT";0,95;194,1;0,9;65;128,8;2
"ryotzz";"ryotzz";"TBK";0,95;187;0,88;71;124,2;2
"chase";"chase";"GLB";0,95;206,1;0,95;70;132,3;3
"Vlady";"Vlady";"SUPR";0,95;175,2;0,84;70;115,1;2
"erennTT";"erennTT";"4RL";0,95;220,5;0,96;65;154,1;3
"roserade";"roserade";"Thie";0,95;210,7;0,88;69;138;3
"kr1sP";"kr1sP";"AGP";0,95;212,9;1;65;135,1;3
"X1kuzohh";"1kuzohh";"MZ T";0,95;215,2;0,89;71;151,9;3
"River";"River";"NAVI.C";0,95;202,9;0,99;69;133,5;3
"Mazin";"Mazin";"FUR";0,95;192,9;0,96;70;123,8;2
"R1x";"R1x";"CHK";0,95;187;0,89;68;117,8;2
"Licht";"Licht";"AWK";0,95;194,6;0,95;71;130,1;3
"lew";"lew";"RIX.S";0,95;187,5;0,85;70;117,4;2
"alain";"alain";"Vx3";0,95;175,7;0,9;70;119,6;2
"BUTTSAHAB";"BUTTSAHAB";"CL";0,95;245,1;1,11;64;144,8;3
"OniBy";"OniBy";"CGN";0,95;185,1;0,86;70;125,5;2
"snxper";"snxper";"VRT";0,95;189,3;0,89;70;123,9;2
"Shalz";"Shalz";"GGO";0,95;188,7;0,87;67;130,4;2
"infiltrator";"infiltrator";"FG";0,95;228,3;1,02;66;149,4;3
"Ripper";"Ripper";"OAS";0,95;194;0,96;71;127,6;3
"afr0nfire";"afr0nfire";"PRL";0,95;154,2;0,7;76;92,3;2
"Ko0";"Ko0";"BAAM";0,95;195,5;0,9;69;125,9;2
"rainssa";"rainssa";"SMBF";0,95;182,1;0,92;72;120,9;2
"ease";"ease";"UCAM";0,95;187,6;0,93;68;123,5;2
"notxd";"notxd";"PLM";0,95;191,5;0,96;70;121,6;2
"icy";"icy";"SILK";0,95;198,4;0,95;69;131,8;3
"akemy";"akemy";"Labo";0,95;167,6;0,87;70;107,6;2
"mAz";"mAz";"SUR";0,95;201,6;0,97;70;132,4;3
"RiceballiNNN";"RiceballiNNN";"C4";0,95;193,8;0,87;69;133,1;2
"EmilShe1n";"EmilShe1n";"IMT";0,95;183;1;70;123,6;2
"flippy";"flippy";"SBE";0,95;189,4;0,94;71;125,6;2
"DrastZ";"DrastZ";"Vx3";0,95;224,8;0,94;69;149,8;3
"Lilo";"Lilo";"ARF";0,95;221,4;0,97;65;142,6;3
"dinkzj";"dinkzj";"NAVI";0,95;180,7;0,95;70;122,2;2
"zyad";"zyad";"RFG";0,95;218,3;1;66;137,7;3
"kacpi";"kacpi";"TEN";0,95;202,3;0,99;70;131;3
"ShonP";"ShonP";"NOM.JR";0,95;201,6;0,91;69;135,5;3
"Yifang";"Yifang";"LGC";0,95;200,9;0,96;70;136,1;3
"torract";"torract";"HLD";0,95;200,7;0,93;59;124,1;2
"eKo";"eKo";"GEN";0,95;197,6;0,94;70;125,7;3
"demo";"demo";"TOA";0,95;185;0,87;71;121,7;2
"Coffee";"Coffee";"PHXE";0,95;214;1,01;68;136;3
"Villu";"Villu";"eM";0,95;217;1;63;143,1;3
"XeoN";"XeoN";"bonk";0,95;196;0,95;69;123,7;2
"madv";"madv";"FLC.V";0,95;204,2;0,98;67;132,7;3
"mwc";"mwc";"KINU";0,94;185,1;0,91;69;124,2;2
"VASQUEZ";"VASQUEZ";"Team";0,94;202;1,02;65;137,1;3
"fenNy";"fenNy";"AK";0,94;196,4;0,94;69;137,9;3
"Shizue";"Shizue";"MIBR.F";0,94;186,3;0,95;72;124,4;2
"epathy";"epathy";"ex-S";0,94;210,5;0,99;66;132,6;3
"flyuh";"flyuh";"CB";0,94;182,2;0,89;71;121,4;2
"p0wa77";"p0wa77";"S2G";0,94;194,4;0,93;70;129,1;3
"Eraze";"Eraze";"NOX";0,94;206,8;0,99;58;125,1;2
"michey";"michey";"RIZO";0,94;215,5;0,98;69;146,7;3
"LohaN";"LohaN";"DSY";0,94;197,6;0,93;66;131,8;3
"Br0die";"Br0die";"MAD";0,94;173,8;0,88;71;116,1;2
"nAny";"nAny";"ODK";0,94;189,9;0,91;70;123,8;2
"stanly";"stanly";"VCTRY";0,94;189,5;0,9;69;123,9;2
"Mafra";"Mafra";"Trin";0,94;153;0,72;65;107,1;2
"PatMen";"PatMen";"NCG";0,94;218,2;0,99;69;145,1;3
"khe0ps";"khe0ps";"KE";0,94;192,8;0,8;73;127,7;2
"neT";"neT";"TGRD";0,94;197,2;0,96;68;127;3
"SouhcNi";"SouhcNi";"SMB";0,94;182,9;0,92;69;120,1;2
"shuaishuai";"shuaishuai";"NTER";0,94;186,4;0,95;68;120,2;2
"Naschzz";"Naschzz";"GSNS";0,94;196,7;0,91;66;131,1;2
"COOKIEOREOYUMMY1";"COOKIEOREOYUMMY1";"LYE";0,94;212,9;0,98;66;141,6;3
"traNz";"traNz";"FL";0,94;208,6;0,97;67;141,3;3
"Xan";"Xan";"NN";0,94;213,6;0,89;73;138;3
"kobra";"kobra";"CGZ";0,94;202,9;0,95;63;128,8;2
"reLOADED";"reLOADED";"VRTX";0,94;187,3;0,85;73;128,9;2
"Esperanza";"Esperanza";"DK";0,94;186,7;0,9;68;123,8;2
"Spyko";"Spyko";"ARF";0,94;179,3;0,86;71;117,3;2
"agM";"agM";"COL";0,94;190,2;0,94;69;125,6;2
"yuudai";"yuudai";"SUPR";0,94;171,8;0,91;71;116,7;2
"qqGOD";"qqGOD";"NKT";0,94;216;0,96;67;136,4;3
"haydeNN";"haydeNN";"Nerx";0,94;162,2;0,8;77;108,9;2
"Obito";"Obito";"Totoro";0,94;184,3;0,85;69;125;2
"nolan";"nolan";"BM";0,94;226,8;1,05;67;142,4;3
"modeskiii";"modeskiii";"SZ";0,94;184,2;0,93;70;119,7;2
"Cactus";"Cactus";"Team";0,94;196,8;0,87;64;121,7;2
"v1nny";"v1nny";"Labo";0,94;177,1;0,89;72;114,4;2
"Maka";"Maka";"INF";0,94;212,6;0,97;68;136;3
"KHorror";"KHorror";"CWB";0,94;192,2;0,95;65;120,3;2
"zombs";"zombs";"SEN";0,94;172,4;0,9;74;110,7;2
"Lieu";"Lieu";"SCY";0,94;179,7;0,97;66;119,1;2
"P1nA2k4";"P1nA2k4";"BAAM";0,94;181,6;0,92;72;119,3;2
"tatzuki";"tatzuki";"DIA";0,94;229,6;1;66;147,3;3
"Ghost";"Ghost";"Snakes";0,94;192,5;0,94;69;124,6;2
"gabiTê";"gabiTê";"MIBR.F";0,94;181,2;0,93;66;120,6;2
"Luke";"Luke";"WGS";0,94;192,5;0,94;67;129,9;2
"rez1v";"rez1v";"NVG";0,94;178,9;0,88;69;122,9;2
"Bard0lf";"Bard0lf";"BJK";0,94;182,9;0,87;69;120,7;2
"xikii";"xikii";"QLSH";0,94;165,9;0,92;76;110,1;2
"Acerola";"Acerola";"FCY";0,94;183,5;0,88;71;117,6;2
"X9th";"9th";"Z11";0,94;175,3;0,81;70;115,2;2
"maizi";"maizi";"ME";0,94;215,3;0,98;72;143,5;3
"k1zpawn";"k1zpawn";"TQ";0,94;180,9;0,9;70;121,3;2
"watasink";"watasink";"BTW";0,94;212;0,98;62;137,6;3
"pMdr1";"pMdr1";"JUXT";0,94;199,8;0,93;70;130,1;3
"Jan";"Jan";"TMX";0,94;217,5;0,97;71;145,8;3
"Bill";"Bill";"AR";0,94;192,3;0,91;66;123,5;2
"aljaDi";"aljaDi";"PER";0,94;189,6;0,94;71;121,8;2
"kongared";"kongared";"AAA";0,94;188;0,93;71;122;2
"rarkar";"rarkar";"BBG";0,94;192,8;0,94;70;121,6;2
"str1keR";"str1keR";"TU";0,94;204,1;0,96;68;134,2;3
"Noiflen";"Noiflen";"ODIUM";0,94;199,2;0,94;67;132,5;3
"pecks";"pecks";"MF";0,94;214;0,99;68;135,8;3
"s1cknes";"s1cknes";"Team";0,94;176,3;0,95;67;114,2;2
"Krzysiek";"Krzysiek";"No N";0,94;181;0,99;71;117,5;2
"TajReX";"TajReX";"aim_";0,94;230;0,98;66;153,1;3
"Redgar";"Redgar";"TL";0,94;174,1;0,9;72;114,2;2
"AntiBiotique";"AntiBiotique";"OXR";0,94;193;0,95;64;126,5;2
"Elysium";"Elysium";"EP";0,94;181,4;0,91;70;118;2
"f6tal";"f6tal";"SES";0,94;221,1;0,97;64;140,3;3
"Slacherj";"Slacherj";"KRS";0,94;186,3;0,88;64;124,9;2
"steel";"steel";"T1";0,94;196,9;0,91;69;129,7;3
"HyDrO";"HyDrO";"AT";0,94;186,6;0,87;70;119,6;2
"CombatRy";"CombatRy";"GSE";0,94;189,8;0,93;71;124,7;2
"zambie";"zambie";"OOKE";0,94;194;0,93;71;122,3;2
"xelouz";"xelouz";"ANKAA";0,94;198,1;0,92;70;129;3
"furlan";"furlan";"mato";0,94;202,8;0,79;60;123,8;2
"Stefanie";"Stefanie";"EG.GC";0,94;218,7;0,96;66;147,1;3
"trisk";"trisk";"FNR";0,94;208,1;0,91;68;132,5;3
"ozo";"ozo";"USC";0,94;232,6;0,99;58;149,2;3
"Ayaaa";"Ayaaa";"RH";0,94;217,2;0,96;67;143;3
"PapamoE";"PapamoE";"TBG";0,94;224,6;0,91;74;140;3
"truth";"truth";"Luna";0,94;165,3;0,73;74;93,4;2
"volod9";"volod9";"Team";0,94;193,6;0,98;76;128,4;3
"Agility";"Agility";"YFP";0,94;193,7;0,88;69;128,6;2
"rizK";"rizK";"SD";0,94;212,7;0,87;67;140,3;3
"Trick";"Trick";"DR";0,94;199,5;0,88;70;130,1;3
"TEAGUE";"TEAGUE";"LT";0,94;185,9;0,85;71;120,2;2
"Kishi";"Kishi";"FCY";0,94;206,4;0,95;68;133,9;3
"MonOkson";"MonOkson";"LGE";0,94;175,2;0,89;68;112,9;2
"rise";"rise";"CLG";0,94;179;0,9;69;119,3;2
"sMakzy";"sMakzy";"nF";0,94;157,6;0,65;70;112,1;2
"reltuC";"reltuC";"TSM";0,94;166,8;0,92;69;111,2;2
"raafa";"raafa";"LBR";0,94;195,4;0,94;69;128,7;3
"jans0n";"jans0n";"0Zer";0,94;199,1;0,94;64;131;2
"kpiz";"kpiz";"Gief";0,94;183,5;0,89;74;120,9;2
"Wyz";"Wyz";"FS";0,94;208,9;1,01;69;132,3;3
"tensai";"tensai";"MF";0,94;192,8;0,92;70;126,3;2
"Tempz";"Tempz";"Devi";0,94;201,6;0,93;72;133;3
"X9ondoss";"9ondoss";"KRS";0,94;209,8;0,9;68;126,2;3
"bearkun";"bearkun";"The";0,94;185;0,92;69;119,5;2
"shoqqz";"shoqqz";"LUSA";0,94;203,9;0,96;70;136,3;3
"marko";"marko";"Crim";0,94;159,5;0,85;76;114,5;2
"CALVIN";"CALVIN";"S
																			Siss";0,94;192;0,88;69;126,2;2
"Myth";"Myth";"CD";0,94;190,6;0,94;71;126,2;2
"delz1k";"delz1k";"KRÜ";0,94;186,8;0,95;73;120,5;2
"hatex";"hatex";"GAL";0,94;190,3;0,92;70;127,8;2
"Deadly10";"Deadly10";"VLT";0,94;217,2;0,97;65;142,1;3
"taxx";"taxx";"BONK";0,94;208,8;0,96;67;136,6;3
"Attention";"Attention";"GFN";0,94;219,8;1,04;66;140,3;3
"Zeko";"Zeko";"AW3";0,94;206,2;0,9;65;135,6;3
"Nether";"Nether";"BTF";0,94;179,9;0,87;72;118,3;2
"ryden";"ryden";"GAL";0,94;190,6;0,89;68;128,2;2
"kouhai";"kouhai";"Hype";0,94;192,5;0,96;67;123,3;2
"NeruFi";"NeruFi";"CGZ";0,94;182,5;0,9;71;119,5;2
"shadow";"shadow";"TUNISIA";0,94;220,3;0,98;65;137,4;3
"Rawkus";"Rawkus";"SEN";0,94;167,9;0,92;71;111,1;2
"SuperMj";"SuperMj";"KDM";0,94;203,5;0,88;65;124;2
"HANLING";"HANLING";"9z";0,94;206,9;0,92;67;138,2;3
"BraiNfreeZe";"BraiNfreeZe";"BRN";0,94;165,9;0,85;70;111,6;2
"Lz";"Lz";"Real";0,94;185,5;0,93;66;119,5;2
"tupperware";"tupperware";"IMT";0,94;192;0,91;71;126,5;2
"Gadoerzz";"Gadoerzz";"GR G";0,94;216,4;0,95;67;138,3;3
"DubzWoW";"DubzWoW";"TBG";0,94;217,8;0,92;67;141,1;3
"Brasco";"Brasco";"Kaos";0,94;164,1;0,9;70;108,9;2
"DmL";"DmL";"aber";0,94;166;0,77;64;108,9;2
"Yoshiii";"Yoshiii";"WEST";0,94;194,6;0,84;71;134,9;2
"Aetha";"Aetha";"UT D";0,94;179,3;0,93;70;118,3;2
"Casblood18";"Casblood18";"LYE";0,94;198;0,9;69;128;2
"jammyz";"jammyz";"DZ";0,94;188,5;0,93;68;123,5;2
"kxtieoh";"kxtieoh";"MSF";0,94;174,5;0,9;71;115,6;2
"shiba";"shiba";"NN";0,94;181,7;0,89;70;117,4;2
