"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"64";0,984;0,694;197,34;164,94;70,2;58,8;0,96;0,664;129,56;109,22;1
"65";0,756;0,958;172,24;205,22;67,2;67,6;0,736;0,974;113,98;131,98;1
"66";0,968;1,04;200,66;209,44;70,4;71;0,956;1,05;132,04;135,36;1
"67";1,034;0,962;202,44;186,66;70,8;69,8;1,014;0,922;130,5;122,24;1
"68";1,008;0,97;217,2;208,34;69;68,8;1,01;1,006;139,46;133,48;1
"69";1,064;0,908;219,56;199,18;71,2;66,6;1,102;0,928;140,6;131,08;1
"70";0,99;0,878;203,48;189,98;72,6;66,4;0,94;0,856;132,02;123,26;1
"71";1,04;0,982;209,44;199,26;71;70,8;1,05;0,972;135,36;128,26;1
"72";1,034;0,952;202,44;185,74;70,8;70,8;1,014;0,91;130,5;120,54;1
"73";0,736;0,962;162,44;186,66;58;69,8;0,69;0,922;108,92;122,24;0
"74";0,962;1,034;198,3;214,58;68,2;70,2;0,966;1,064;129,76;137,7;0
"75";0,78;0,926;184,76;191,28;61;67,2;0,752;0,9;121,46;125,5;0
"76";0,952;0,99;194,6;203,08;69,2;70,2;0,936;0,99;125,82;133;1
"77";0,984;0,944;197,34;191,36;70,2;69,4;0,96;0,916;129,56;126,92;0
"78";0,786;0,99;175,54;203,08;65,2;70,2;0,754;0,99;116,74;133;0
"79";0,928;0,946;195,66;195,36;68,6;68,4;0,936;0,944;129,48;127,76;0
